,videoId,text,likeCount,published
1297,9saj1Kg7S1I,"뿨킹 듀블은 투력 1.2를 찍어도 배율이 90프로...헥환도 4.35 정돈데 대체 어느정도까지 해줘야 하는지ㅠㅠ 아버 끝까지 올렸고 장신구들도 윗잠 평균 18퍼, 에디 평균 1.7줄에 추옵은 평균 120급에 3부위빼고 18 둘둘인데",1,2026-08-08 15:33:08+00:00
1299,9saj1Kg7S1I,"레벨 278에 전투력 1천4백정도인데.. 
어떻게 전투력을 올리는지 몰라서 답답했는데 이런 영상 감사합니다ㅠㅠ 가이드 없으면 진짜 게임이 복잡하네요ㅜㅠ",1,2026-08-08 15:20:18+00:00
901,FMUmSNtWlEU,모르고 저 슈피겔만 아저씨 놓쳤는데 어디서 다시하나요?,1,2026-08-08 14:47:35+00:00
393,f3DLA1EU8vw,8:27 1-1 반복세팅,0,2026-08-08 13:06:33+00:00
1731,vtXkiF-GE9I,"8:47 신규 기능이 아니라 변경 아닌가?
심상세계에서 추가 공격 원래 100% 발동하던게 50% 확률로 너프된게 아니였나?
내가 틀린건가보네",0,2026-08-08 12:00:29+00:00
903,FMUmSNtWlEU,지금 시작해도 260 갈만한가요?,3,2026-08-08 10:59:12+00:00
226,j__MUJTquJw,카오스 단계는 방치형이 아니잖아 ㅋㅋㅇㅋ,0,2026-08-08 10:49:07+00:00
1301,9saj1Kg7S1I,메이플 지금 시작하는건 늦었나요,1,2026-08-08 07:39:34+00:00
1303,9saj1Kg7S1I,담 하버맥스 언제쯤 할까요 도전자 장비 끝날때쯤??,1,2026-08-08 01:53:38+00:00
1305,9saj1Kg7S1I,"안녕하세요 뉴비인데 제가 지금 트왈이라이트,에스텔라,데이브레이크? 이렇게 있는데 놀긍떡작을 하라고 해서 모두다 놀긍떡장을 했는데 프리미엄 악세 마력 주문서 이거 코인같은걸로 사서 작해도 될가요? 아니면 그냥 놀긍작 떡으로 놔둘까여? 지금은 챌섭 60500점이고 9만점 찍어서 야누스 20 받고 싶어서요",1,2026-08-08 01:27:43+00:00
1309,9saj1Kg7S1I,현재 투력 5000이고 다음주 해방인데 챌린저 가능할까요..?,1,2026-08-08 01:11:43+00:00
1313,9saj1Kg7S1I,챌린져노리는 메린이입니다 현재 대적자 트라이중인데 제네 무기 잠재 공공올인데 블큐를 다른데 쓸까여?,1,2026-08-08 00:50:00+00:00
1315,9saj1Kg7S1I,3카5앱시절 메플하다가 거진 7년만에 복귀한 메린입니당.. 그래도 이래저래 공략보고 이지칼로스까지 우여곡절끝에 잡앗는데 대적자부터 벽느껴요 챌린저 가능할까요..  현금을투자해서 장비업그레이드가 답인가요?,1,2026-08-07 23:55:33+00:00
85,9mbc6ESMMvo,코인값 너무떨어져서 15분 사냥한 메소로 이벤템 다 살 수 있네요 따흐흐흐흫흐흑~~!!,0,2026-08-07 23:12:24+00:00
1318,9saj1Kg7S1I,"최근 시작한 메린인데 아이템 버닝 업그레이드 할 때 도전의 문장은 메이플 포인트로 구매하는게 좋은가요?

늦게시작해서 그런지 일주일에 500개씩 주는 도전의 문장으로는 너무 업그레이드가 느리고 잘하면 챌섭기간까지 도전의 문장때문에 못 맞출수도 있을거같던데 

이 경우에는 메소와 메이플포인트를 써서 도전의문장 구매를 해줘야되는건가요?",1,2026-08-07 17:50:22+00:00
1320,9saj1Kg7S1I,하버 또 주나요??,1,2026-08-07 16:52:49+00:00
1322,9saj1Kg7S1I,전투력 4900만인데 이지 윌을 못잡아서 아이템버닝 담단계로 넘어갈수가없어요ㅠ,1,2026-08-07 15:52:19+00:00
1326,9saj1Kg7S1I,1:14 ??? 카인으로 투력 4000초중반에 겨우잡았는데...? 저게된다고요?,2,2026-08-07 15:21:56+00:00
1329,9saj1Kg7S1I,트레이드 마크인 소리 오데갓노 ㅠㅠ,1,2026-08-07 15:17:18+00:00
421,f3DLA1EU8vw,"8:28
9:54",0,2026-08-07 15:01:10+00:00
142,j__MUJTquJw,저 궁금한게 11:39초에 보면 저건 스태프 착용 시 합쳐진 % 아닌가요? 그러면 기본을 보고 계산하는게 맞지 않나요?,0,2026-08-07 14:25:32+00:00
1331,9saj1Kg7S1I,먼말인지 하나도 못알아듣겠네요 나만 그런가,1,2026-08-07 14:19:00+00:00
1332,9saj1Kg7S1I,"챌섭 투력이 1023만인데 데브랑, 가엔링이랑 블빈마를 40일안에 사서 투력 3500만까지 될수있나요?",3,2026-08-07 13:50:12+00:00
1334,9saj1Kg7S1I,"하드 메이린 최소컷 생각보다 높았었음
한 1억2~3천 정도",3,2026-08-07 13:46:11+00:00
1336,9saj1Kg7S1I,요번 아버 그래도 난이도 충분히 할만한듯요😊,1,2026-08-07 13:23:32+00:00
1338,9saj1Kg7S1I,오늘 시작한 메린이인데 제네시스패스?? 그거 가능할까요??  잼이님 유튜브 보면서 꾸역꾸역 정보들 습득 중입니다 ㅠㅠ,2,2026-08-07 13:20:32+00:00
1344,9saj1Kg7S1I,"안녕하세요 지난 7월 부터 다시 시작
한 메린이 입니다 현재 어떻게 해야
할지 몰라서요 물어 봅니다",1,2026-08-07 12:48:06+00:00
1349,9saj1Kg7S1I,"궁금한거있는데 9월달 벨페보고 신6차 뚫을꺼라서 아직 안뚫엇는데  환산주스텟에서 6차강화가 하필 신6차라서  
그리고 6차강화는 항상 환산주스텟 추천대로 강화를 해야하나여? 아니면 추천대로 안해도 상관없지 않나여? 어차피 6차코어는 다 강화해야하는데 추천대로  효율있게 강화 하라고 나와있어서 그런지....",1,2026-08-07 12:34:06+00:00
1352,9saj1Kg7S1I,하드메이린 최소컷까지 템셋팅 방법 알려주실 수 있으실까요 😢,2,2026-08-07 12:33:56+00:00
1354,9saj1Kg7S1I,메린이 1차 해방까지 끝났는데 뭘 해야할지 모르겠어요… 메이린 노말까지 다 잡았는데…..,2,2026-08-07 12:05:45+00:00
1356,9saj1Kg7S1I,일단 메린이친구한테 바로 링크 공유했습니다!!! 1억은 넘겼는데 그이후도 부탁드려도될까요,2,2026-08-07 12:01:42+00:00
1358,9saj1Kg7S1I,바로 보기!!,1,2026-08-07 11:58:18+00:00
1274,9saj1Kg7S1I,"항상 감사합니다
구독과 좋아요는 채널유지에 큰힘이 됩니다!

노말 메이린 공략 https://youtu.be/ZTUaiFCG4h8

0:18 현실적인 목표가 중요한 이유
01:36 280레벨이 중요한 이유
02:39 아이템 버닝 최종미션 해결 템셋팅
07:44 마지막 1억 전투력까지


영상과 상관없는 내용이나 과도한 직업비하는
삭제가 되니까 이부분 양해부탁드립니다

채널에 가입하여 혜택을 누려보세요.
https://www.youtube.com/channel/UClLl6MY6ad9f_bZDHxdzqww/join

잼이카페
cafe.naver.com/zamegame

잼이 치지직
https://chzzk.naver.com/fc472e07e10f4e2fb7ee9db67d29120d

목 건강이 나빠서 이중 더빙을 하고 있습니다

ai 성우 사용중입니다

[메이플 장편] 월수금 1편씩 오후 6시 업로드",1,2026-08-07 11:55:47+00:00
1090,GeniNYE0V5M,혹시 윈브인데 연합의 의지퀘는 깬것같은데 스킬이없으면 어캐해야되나요??,1,2026-08-07 08:38:21+00:00
99,9mbc6ESMMvo,장비 3개 공마2줄 뽑는데 2600개 들었다,1,2026-08-07 07:49:01+00:00
74,9mbc6ESMMvo,"창섭이형 의도, 기획 다 좋은데 이런 건 잠재 좀 잘 뜨게해주면 안 되나?",0,2026-08-07 05:39:53+00:00
1250,6bLaTCHm-8A,2:29 여기에 나오는 오른쪽  머리랑 상의는 코디가 뭔가용? 되게 이쁘네요,0,2026-08-07 03:40:52+00:00
88,9mbc6ESMMvo,이번엔 렌 메m공략 없나요 ㅠ,0,2026-08-07 01:08:46+00:00
5714,Jg9xSIh9-ls,"메린인데 알랴쥬새여….
여명셋 악세부위는 어떤 주문서 발라야하나요…??ㅠㅠㅠㅠ",0,2026-08-07 00:47:41+00:00
213,j__MUJTquJw,공략대로 48~49일때 3-9 못깨면 그냥 55렙 가야하네... 51~54는 애매해서 안깨짐 ㅋㅋ,0,2026-08-06 22:32:00+00:00
7632,spAIOQ2nBZs,와 정리를 엄청 잘 해주셨네요~~ 이해가 쏙쏙 됩니다~~~,0,2026-08-06 16:17:12+00:00
