title,author,datetime,content,url
잠재 주문서 어따써야할지 모르겠음..,Dlucio,2026-06-30 15:28,"지금 제 템이 이런 상황인데
카르마 유니크 잠재, 카르마 레전 잠재, 카르마 에디 유니크 잠재 이렇게 3개 남아 있는거 어디에 써야할 지 감이 안와요
카혼목 -> 데브팬 생각하고 있는데 이게 맞는지 확신도 없어서 조언 좀 부탁드립니당",https://www.inven.co.kr/board/maple/2300/358519
파티로 연습모드 클리어해도 페이즈별 연모 열리나요?,Popnemo,2026-06-30 15:22,림보 연습하려는데 혼자서 밀기엔 택도 없어서..,https://www.inven.co.kr/board/maple/2300/358518
메린이 드메템 질문이요!,유월사,2026-06-30 15:21,"드메템을 하나씩 맞추려고 하는데
마이스터링을 찾아보니 '장착 시 교환 불가'가 있고 '1회 교환 가능 (거래 후 교환 불가)' 이렇게 두개가 있더라구요. 혹시 차이점이 있나요?
필터에 가위 사용 가능 횟수 미부여를 설정해놓고 검색해도 두 종류 모두 떠서 질문드립니다!",https://www.inven.co.kr/board/maple/2300/358517
응애 뉴비 이벤트링 질문있어요,으아아ak,2026-06-30 15:17,"이번 챌섭에서 시작한 뉴비입니다
테네, 어웨이크, 슈프림(레전,레어에디), 이터널플레임(유닉, 레어에디)
이렇게 있는데
테네, 어웨이크 연합코인샵에서 이벤레전줌서 바르면될까요,,
지금 끼고다니는건
4렙리레(3렙컨), 실버블라썸(에픽 준거), 슈프림, 이터널
끼고다니는중이에여
영상 찾아봐도 반지 확실한 설명을 못찾았어요 도와줘",https://www.inven.co.kr/board/maple/2300/358516
조각 안파는 챌썹 메린이 템 진로좀!!,,2026-06-30 15:16,"이번에 아이가 생겨서 현질은 안될것같고. 지금 검마 126%에서 3페를 못가서 6월꺼는 못돌거 같고.
조각을 안팔았더니, 간신이 아케인 심볼만 강화하며 살고있습니다.
일단은 검마를 패고싶고, 챌썹끝나기전엔 챌린져를 달고싶은데, 템적으로 스펙업을 어떻게 해야할지 고민입니다.
일단 샤타때 악세 17성+ 이벤트재화 모이면 놀긍떡작 했던 4여명 프악공 예정이긴합니다!
조언좀!!!!
미리 감사합니다.",https://www.inven.co.kr/board/maple/2300/358515
5석펫 질문,,2026-06-30 14:48,"현재 쁘띠신야, 쁘띠파란버섯 보유중인데
버섯펫 2마리 + 아무 자석펫 1마리 이렇게 구매할까요? 아니면
기수펫 3마리 구매할까요?
한번에 안사고 한마리씩 순차적으로 구매할 예정입니다!",https://www.inven.co.kr/board/maple/2300/358514
"펫 HP, MP 물약충전 스킬 질문이여 급함 !!",깟님,2026-06-30 14:35,"주는 펫 쓰다가 자석펫 3개 사서 끼워놨는데
물약을 자동으로 안먹어서 캐시샵에서 HP 물약충전, MP 물약충전 샀거든요??
3마리 다 사나요??",https://www.inven.co.kr/board/maple/2300/358513
뉴비 제네시스 패스 질문입니다.,니코털샤기,2026-06-30 14:23,"금일 기준 268렙 투력 700만 레테 뉴비입니다.
본섭에 듀블 276키울때 최대 전투력 4000만에 진힐라 깨본적이 없는데,
3주차때 제네 패스 구입해도 장점이 있을까요?
검밑솔을 다 해본적이 없어 괜히 결제했다가 효과도 못볼까봐 문의드립니다!",https://www.inven.co.kr/board/maple/2300/358512
찍계 걸린것 같습니다.,Fccccc,2026-06-30 14:08,"방학때마다 복귀하여 챌린저스 서버에서 하고있는데 챌패스 제네패스만 사서 메제만채우고 남으면
한두캐릭 채집 또는 재획비만 만들고있는데 어제 갑자기 보호모드가 되어서 초본으로 풀고
오늘 사냥을 시작했는데 거의 30분~50분 마다 신박한 거탐만 걸리고있습니다
이건 어떻게 풀어야하나요?",https://www.inven.co.kr/board/maple/2300/358511
[챌섭] 혹시 저자본으로 챌린저 가능한가여,강윤슬,2026-06-30 14:01,"방학시즌때 마다 조금씩 찍먹해온 메린이에요
챌섭기간 끝까지 달리려고 합니다
패스전부구매 + 웰컴패키지 + 몬파5판 + 에픽던전1단계
이정도 현질 할 생각입니다
현재 메이플 유튜버 지ㅁ 챌섭 가이드를 보면서 하는중인데여
생각보다 쉽고 재밌네요
아래는 제 템셋팅입니다. 조언좀 부탁드려요",https://www.inven.co.kr/board/maple/2300/358510
