title,category,views,question_intent
힘 여명 30퍼 깡통 35억 즈음이면 비쌀까요?,아이템,565,가격·시세
이번 챌섭 유입 템세팅 질문드려봅니다,아이템,416,기타 질문
"250,200레벨 달성비약 어디다가 써야하나요??",아이템,1252,기타 질문
챌섭 뉴비 카레잠이랑 블큐 어디다 쓰는게 좋을까요?,아이템,497,기타 질문
뉴비 주보캐 템 질문좀 받아주실분,아이템,389,방법·공략
뉴비면 이노센트50퍼랑 순백10퍼 팔아도 되나요,아이템,513,가격·시세
제네시스 패스 구매 후 미활성화로 인한 흔적 복구 해보신 분 있으실까요?,아이템,550,가격·시세
복귀한지 하루차인데 패스 구매해도 상관없을까요?,기타,556,가격·시세
뉴비 아이템 셋팅 질문 두개만 부탁드립니다.,아이템,507,가격·시세
"초대형 검, 몽둥이, 도끼 지금 살수있나여?",기타,748,가능·적정성
뉴비 스펙업 진로 고민있어요,아이템,462,가격·시세
메린이 하메잡는데 뭘 더 해야 빠르게 쌔질까요,아이템,681,가격·시세
이번 유입 월드리프 질문합니다!,기타,720,기타 질문
찐뉴비 지금이라도 시작해볼까하는데 추천좀요!,직업,600,선택·추천
이거 얼마 정도에 팔릴까요..?,시세,709,가격·시세
지금 챌섭시작하기엔 늦음?,기타,1227,선택·추천
이번 메이플 챌린저스 유입 뉴비입니다. 도와주세요,아이템,623,우선순위
복귀유저 챌섭 질문드려요,기타,388,가격·시세
복귀 메린이인데 블랙보조 질문드립니다,아이템,458,가격·시세
이번에 복귀 유전데 캐샵 통합,기타,454,기타 질문
신규유저 지금 시작해도 되나요?,기타,707,가능·적정성
보마 재획준비물좀 알려주실분,아이템,569,우선순위
챌섭 메린이 하메를 위한 템셋팅 조언 부탁드립니다!,아이템,710,기타 질문
뉴비 대적자 코인 사용처 질문,아이템,623,기타 질문
챌섭 뉴비 진로 부탁드립니다 ㅠ,기타,398,가능·적정성
복귀유저 직업 네개중에 뭐가 괜춘할까요?,직업,565,선택·추천
컴고수 선생님들 게임이 계속 멈춥니다,기타,424,우선순위
헥환 7~9만 템셋 비용 얼마나 될까요? (궁수),아이템,1103,우선순위
자석펫 얼마나 걸릴까요?,기타,1084,가격·시세
에테 장갑을 만들었었는데 방어구 템셋을,아이템,999,우선순위
뉴비 템셋 순서고민입니다,기타,509,우선순위
뉴비 쌍레 데브펜 시세 질문,시세,413,가격·시세
형님들 이거 미트라 잠재 뭐써야하나요,아이템,667,우선순위
뉴비 자석펫 질문,아이템,554,기타 질문
요즘 교가 보조무기 에픽은 어떻게 올리나요?,아이템,537,가능·적정성
4만 복귀 카이저 메린이,아이템,451,선택·추천
"뉴비 챌린저 도전, 템셋팅 어떻게 하는게 효율적일까요",아이템,456,가격·시세
이벤링 아드템으로 끼고싶은데 도와주세요 ㅠ,아이템,506,선택·추천
카르마 블랙큐브 화이트큐브 사용처,아이템,827,우선순위
4주차 뉴비 앞으로 진로방향좀 가르쳐주세요!,기타,524,가격·시세
뉴비 스펙업 아이템 질문,아이템,552,가격·시세
이거 이가격에 사도 되나요?,아이템,776,가격·시세
챌섭 복귀 메린이 보조무기 질문,아이템,481,가격·시세
메린이 제네무기 및 템진단좀 부탁드립니다.,아이템,481,문제 해결
6월말 유입 뉴비 현실적인 조언 부탁드립니다,기타,550,가능·적정성
챌린저스 뉴비 1200억 세팅 질문 드립니다.,아이템,730,우선순위
복귀 렌 유저 전투력 천만이 안되는데...,직업,677,문제 해결
지피방? 원격피시방? 질문있습니다,기타,10928,가능·적정성
추후 어떻게 스펙업할지 궁금해요,아이템,493,가격·시세
진짜 메이플 고수만 오셈,기타,1403,선택·추천
선생님들 리레 4랑 3이랑 차이 큰가요?,아이템,1151,가격·시세
챌섭뉴비 마도서 팔아도 되나여,아이템,983,가격·시세
메린이 스펙업 방향성 조언 부탁드립니다 ㅠㅠ,아이템,566,우선순위
복귀뉴비 챌섭 키우는데 리프할 서버 추천부탁드려요,기타,720,선택·추천
뉴비 레테 레전 똥블렘 그냥 쓰면될까요?,아이템,779,가능·적정성
꼬님키,직업,472,우선순위
해방무기질문,아이템,461,기타 질문
쌩뉴비 해방이후 템세팅 진로(자본 80억),아이템,592,방법·공략
제네무기 잠재 업글 질문합니다,아이템,482,기타 질문
칠흑 드드 거공 사도 되나요..? (메린이),아이템,494,가격·시세
뉴비 템 조언좀,아이템,581,기타 질문
유챔 관련 질문이 있습니다,기타,450,우선순위
뉴비 해방이후 스펙업 방향성 검토 부탁드리겠습니다,아이템,620,우선순위
선배님들 헤어 추천 부탁드립니다..,시세,446,선택·추천
메쌤들 잠재 질문...,아이템,392,선택·추천
"메린이 질문드립니다 자석펫,드메,스펙업",아이템,625,우선순위
안녕하세요 오늘 검마잡고 제네작하는중인데 작관련 질문 좀 드릴께요!,아이템,607,우선순위
복귀유저인데 템바꿀 순서 추천좀요,아이템,472,선택·추천
뉴비 유니온에 대해 궁금해요!,기타,437,방법·공략
보 70 vs 보 65 방무 30 뭐가 좋나요?,아이템,1966,선택·추천
레테 유입 질문하나만 받아주십쇼~,직업,539,선택·추천
헥사 코어 3 때문에 벽에 막힌거 같습니다,기타,5570,가능·적정성
챌섭 챌린저 목표 겸,아이템,680,우선순위
뉴비인데 고민이 있어요 ㅠㅠㅠ,직업,456,우선순위
게토 아닌 피시방에서 하면 찍계되나요?,기타,626,가능·적정성
메이플 한번도 안해본 뉴비 오늘부터 시작해도되나요?,직업,614,가능·적정성
루나 익스텐션 궁금합니다.,아이템,997,기타 질문
밑에 메린이 컴퓨터 질문한 사람입니다!,기타,460,우선순위
뉴비 보스컷,몬스터,717,우선순위
복귀 뉴비 템셋 질문,기타,544,선택·추천
형님들 뉴비 드메템 사려는데 같이봐줄수있을까,아이템,689,가격·시세
챌섭 뉴비 세트템 셋팅 질문 드립니다.ㅜㅜ,아이템,658,가능·적정성
챌섭 보상 250 레테 딸깍 했는데 템 세팅 추천 좀 부탁합니다,아이템,817,선택·추천
안녕하세요 뉴비입니다. 렌 보조무기,아이템,1034,기타 질문
하드 스우에서 루컨마 떳는데,아이템,2122,기타 질문
썬콜 대적자 코인 어디에 쓸까요?,아이템,532,가격·시세
